Rk,Name,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
1,Nikita Kucherov,30,F,81,44,100,144,22,8,21:40,17:37,4:02,0:00,31,13,0,6,1,60,40,0,16,1,91,53,0,22,2,36.80%,1.504,3.418,4.923,1.303,2.523,3.826,2.381,7.325,9.706,0.543,1.235,1.778,306,14.40%,45,35,2,2,50.00%
2,Brayden Point,27,F,81,46,44,90,14,-16,20:02,16:21,3:39,0:01,31,15,0,12,0,27,17,0,8,0,58,32,0,20,0,35.60%,1.7,1.626,3.327,1.404,1.223,2.628,3.039,3.444,6.483,0.568,0.543,1.111,227,20.30%,16,44,294,350,45.65%
3,Steven Stamkos,33,F,79,40,41,81,34,-21,18:13,14:27,3:44,0:01,21,19,0,6,0,21,20,0,7,0,42,39,0,13,0,48.10%,1.667,1.708,3.375,1.104,1.104,2.207,3.85,4.053,7.903,0.506,0.519,1.025,262,15.30%,78,43,357,280,56.04%
4,Victor Hedman,33,D,78,13,63,76,76,18,24:48:00,18:56,3:28,2:23,9,4,0,2,0,36,27,0,12,1,45,31,0,14,1,40.80%,0.403,1.954,2.357,0.366,1.462,1.828,0.886,5.982,6.868,0.167,0.808,0.974,168,7.70%,65,102,0,0,0.00%
5,Brandon Hagel,25,F,82,26,49,75,79,1,19:15,16:03,1:11,2:00,24,2,0,3,1,42,5,2,5,3,66,7,2,8,4,9.30%,0.988,1.862,2.85,1.094,1.914,3.007,1.235,3.088,4.323,0.317,0.598,0.915,184,14.10%,55,45,25,36,40.98%
6,Nick Paul,28,F,82,24,22,46,27,-16,17:15,13:31,3:03,0:40,15,9,0,2,0,17,5,0,1,0,32,14,0,3,0,30.40%,1.017,0.933,1.95,0.812,0.92,1.731,2.155,1.197,3.352,0.293,0.268,0.561,153,15.70%,104,42,531,447,54.29%
7,Anthony Cirelli,26,F,79,20,25,45,38,2,18:31,14:55,1:25,2:10,15,3,2,3,1,21,4,0,3,0,36,7,2,6,1,15.60%,0.82,1.025,1.846,0.764,1.069,1.833,1.599,2.131,3.73,0.253,0.316,0.57,129,15.50%,64,75,460,475,49.20%
8,Darren Raddysh,27,D,82,6,27,33,21,-3,19:06,17:32,0:43,0:49,5,1,0,2,1,21,6,0,5,1,26,7,0,7,2,21.20%,0.23,1.034,1.264,0.208,0.876,1.084,1.004,6.023,7.027,0.073,0.329,0.402,101,5.90%,75,105,0,0,0.00%
9,Michael Eyssimont,27,F,81,11,14,25,104,7,11:51,11:25,0:24,0:00,9,2,0,2,0,12,2,0,0,0,21,4,0,2,0,16.00%,0.687,0.875,1.562,0.583,0.778,1.361,3.591,3.591,7.182,0.136,0.173,0.309,149,7.40%,134,31,6,7,46.15%
10,Nicklaus Perbix,25,D,77,2,22,24,10,8,17:04,16:29,0:01,0:33,2,0,0,1,1,22,0,0,3,0,24,0,0,4,1,0.00%,0.091,1.004,1.095,0.094,1.039,1.134,0,0,0,0.026,0.286,0.312,57,3.50%,80,114,0,0,0.00%
11,Mikhail Sergachyov,25,D,34,2,17,19,16,-16,22:33,18:30,1:41,2:21,2,0,0,0,0,10,7,0,3,0,12,7,0,3,0,36.80%,0.156,1.33,1.487,0.191,0.953,1.144,0,7.319,7.319,0.059,0.5,0.559,53,3.80%,36,69,0,0,0.00%
12,Anthony Duclair,28,F,17,8,7,15,6,4,14:27,13:18,1:08,0:00,8,0,0,0,0,5,2,0,1,0,13,2,0,1,0,13.30%,1.953,1.709,3.663,2.122,1.326,3.448,0,6.159,6.159,0.471,0.412,0.882,31,25.80%,14,7,5,8,38.46%
13,Conor Sheary,31,F,57,4,11,15,12,-3,11:06,10:28,0:12,0:24,4,0,0,0,0,11,0,0,3,0,15,0,0,3,0,0.00%,0.379,1.043,1.422,0.402,1.105,1.507,0,0,0,0.07,0.193,0.263,50,8.00%,19,35,4,7,36.36%
14,Tanner Jeannot,26,F,55,7,7,14,75,-10,12:01,11:09,0:51,0:00,6,1,0,0,0,6,1,0,0,0,12,2,0,0,0,14.30%,0.635,0.635,1.271,0.586,0.586,1.173,1.279,1.279,2.559,0.127,0.127,0.255,59,11.90%,211,27,23,41,35.94%
15,Erik Cernak,26,D,69,2,11,13,63,5,19:11,16:19,0:02,2:49,2,0,0,0,0,11,0,0,2,0,13,0,0,2,0,0.00%,0.091,0.499,0.589,0.107,0.586,0.692,0,0,0,0.029,0.159,0.188,53,3.80%,198,109,0,0,0.00%
16,Luke Glendening,34,F,81,10,1,11,39,-2,11:36,9:20,0:00,2:16,9,0,1,1,0,1,0,0,0,0,10,0,1,1,0,0.00%,0.638,0.064,0.701,0.714,0.079,0.794,0,0,0,0.123,0.012,0.136,57,17.50%,121,53,531,417,56.01%
